Title,Director,Cast,Country,Subgenre
Beneath the Planet of the Apes,Ted Post,"James Franciscus, Kim Hunter, Maurice Evans",United States,nan
Colossus: The Forbin Project,Joseph Sargent,"Eric Braeden, Susan Clark, Gordon Pinsent",United States,Thriller[nb 1]
Crimes of the Future,David Cronenberg,"Ronald Mlodzik, Jon Lidolt, Tania Zolty",Canada,nan
Gamera vs. Jiger,Noriaki Yuasa,"Tsutomu Takakuwa, Kelly Varis, Katherine Murphy",Japan,Kaiju
Gas-s-s-s,Roger Corman,"Robert Corff, Elaine Giftos, Bud Cort",United States,Post-apocalyptic black comedy
The Mind of Mr. Soames,Alan Cooke,"Terence Stamp, Robert Vaughn, Nigel Davenport",United KingdomUnited States,Drama
No Blade of Grass,Cornel Wilde,"Nigel Davenport, Jean Wallace, John Hamill",United KingdomUnited States,Apocalyptic
On the Comet,Karel Zeman,"Emil Horváth, Magda Vášáryová, František Filipovský",Czechoslovakia,nan
Scream and Scream Again,Gordon Hessler,"Vincent Price, Christopher Lee, Peter Cushing",United Kingdom,"Horror, conspiracy thriller"
Skullduggery,Gordon Douglas,"Burt Reynolds, Susan Clark, Roger C. Carmel",United States,Adventure
Toomorrow,Val Guest,"Olivia Newton-John, Benny Thomas, Vic Cooper",United Kingdom,Musical
When Dinosaurs Ruled the Earth,Val Guest,"Victoria Vetri, Robin Hawdon, Patrick Allen",United KingdomUnited States,Prehistoric dinosaur film
1971,1971,1971,1971,1971
Title,Director,Cast,Country,Subgenre/Notes
The Andromeda Strain,Robert Wise,"James Olson, Arthur Hill, David Wayne",United States,Thriller
A Clockwork Orange,Stanley Kubrick,"Malcolm McDowell, Patrick Magee, Michael Bates",United KingdomUnited States,"Dystopian, crime"
Escape from the Planet of the Apes,Don Taylor,"Roddy McDowall, Kim Hunter, Bradford Dillman",United States,nan
Gamera vs. Zigra,Noriaki Yuasa,"Koji Fujiyama, Daigo Inoue, Reiko Kasahara",Japan,Kaiju
Glen and Randa,Jim McBride,"Steven Curry, Shelley Plimpton, Woody Chambliss",United States,Post-apocalyptic
Godzilla vs. Hedorah,Yoshimitsu Banno,"Akira Yamauchi, Toshie Kimura, Hiroyuki Kawase",Japan,Kaiju
The Hellstrom Chronicle,"Walon Green, Ed Spiegel",Lawrence Pressman,United States,"Documentary, horror, apocalyptic prophecy"
The Incredible 2-Headed Transplant,Anthony Lanza,"Bruce Dern, Patricia Ann Priest, Casey Kasem",United States,Horror
The Million Dollar Duck,Vincent McEveety,"Dean Jones, Sandy Duncan, Joe Flynn",United States,Comedy
The Omega Man,Boris Sagal,"Charlton Heston, Anthony Zerbe, Rosalind Cash",United States,Post-apocalyptic action
Out of the Darkness,Chatrichalerm Yukol,Sorapong Chatree,Thailand,"Musical, action, drama"
Quest for Love,Ralph Thomas,"Joan Collins, Tom Bell, Denholm Elliott",United Kingdom,Romantic drama
The Resurrection of Zachary Wheeler,Bob Wynn,"Leslie Nielsen, Bradford Dillman, James Daly",United States,nan
THX 1138,George Lucas,"Robert Duvall, Donald Pleasence, Don Pedro Colley",United States,Social science fiction
1972,1972,1972,1972,1972
Title,Director,Cast,Country,Subgenre/Notes
93° Tunnel,Claudinê Perina Camargo,nan,Brazil,Super 8 eco-dystopian film. Portuguese title: Túnel 93°[11][12]
Beware! The Blob,Larry Hagman,"Robert Walker Jr., Gwynne Gilford, Richard Stahl",United States,Comedy horror
The Boy Who Turned Yellow,Michael Powell,"Mark Dightam, Robert Eddison, Helen Weir",United Kingdom,Children's film
Conquest of the Planet of the Apes,J. Lee Thompson,"Roddy McDowall, Don Murray, Ricardo Montalbán",United States,nan
Doomsday Machine,Herbert J. Leder,"Bobby Van, Ruta Lee, Mala Powers",United States,nan
Doomwatch,Peter Sasdy,"Ian Bannen, Judy Geeson, John Paul",United Kingdom,"Thriller, horror"
Eolomea,Herrmann Zschoche,"Cox Habbema, Ivan Andonov, Rolf Hoppe",East GermanySoviet UnionBulgaria,nan
Godzilla vs. Gigan,Jun Fukuda,"Hiroshi Ishikawa, Yuriko Hishimi, Minoru Takashima",Japan,Kaiju
The Groundstar Conspiracy,Lamont Johnson,"George Peppard, Michael Sarrazin, Christine Belford",CanadaUnited States,Neo-noir crime film
The Happiness Cage,Bernard Girard,"Christopher Walken, Joss Ackland, Ralph Meeker",DenmarkUnited States,nan
Horror Express,Eugenio Martín,"Telly Savalas, Christopher Lee, Peter Cushing",SpainUnited Kingdom,Horror
Love 2002,Joachim Hellwig,"Chris Wallasch, Susan Baker, Emöke Pöstenyi",East Germany,Science fiction/documentary hybrid short film. German title: Liebe 2002[13][14][15][16]
Man with the Transplanted Brain,Jacques Doniol-Valcroze,"Mathieu Carrière, Nicoletta Machiavelli, Marianne Eggerickx, Michel Duchaussoy",FranceItalyWest Germany,Drama
Night of the Lepus,William F. Claxton,"Stuart Whitman, Janet Leigh, Rory Calhoun",United States,Horror
"Now You See Him, Now You Don't",Robert Butler,"Kurt Russell, Cesar Romero, Joe Flynn",United States,Comedy
Silent Running,Douglas Trumbull,"Bruce Dern, Cliff Potts, Ron Rifkin",United States,Environmental post-apocalyptic film
Slaughterhouse-Five,George Roy Hill,"Michael Sacks, Ron Leibman, Eugene Roche",United States,"Comedy-drama, military science fiction[nb 2]"
Solaris,Andrey Tarkovskiy,"Natal'ya Bondarchuk, Donatas Banionis, Jüri Järvet",Soviet Union,Art film[nb 3]
The Thing with Two Heads,Lee Frost,"Rosey Grier, Ray Milland, Don Marshall",United States,Comedy horror
The Twilight People,Eddie Romero,"Pam Grier, John Ashley, Pat Woodell, Jan Merlin",PhilippinesUnited States,Horror
Z.P.G.,Michael Campus,"Oliver Reed, Geraldine Chaplin, Don Gordon",DenmarkUnited States,Dystopian
1973,1973,1973,1973,1973
Title,Director,Cast,Country,Subgenre/Notes
Battle for the Planet of the Apes,J. Lee Thompson,"Roddy McDowall, Claude Akins, Natalie Trundy",United States,nan
Beyond Atlantis,Eddie Romero,"Patrick Wayne, John Ashley, Leigh Christian",PhilippinesUnited States,Horror
The Crazies,George A. Romero,"Lane Carroll, Will MacMillan, Harold Wayne Jones",United States,Horror
"Digby, the Biggest Dog in the World",Joseph McGrath,"Jim Dale, Spike Milligan, Angela Douglas",United Kingdom,nan
The Day of the Dolphin,Mike Nichols,"George C. Scott, Trish Van Devere, Paul Sorvino",United States,Thriller
Fantastic Planet,René Laloux,"Jennifer Drake (voice), Eric Baugin (voice), Jean Topart (voice)",FranceCzechoslovakia,Animated film
The Final Programme,Robert Fuest,"Jon Finch, Jenny Runacre, Sterling Hayden",United Kingdom,"Fantasy, thriller"
Godzilla vs. Megalon,Jun Fukuda,"Katsuhiko Sasaki, Hiroyuki Kawase, Yutaka Hayashi",Japan,Kaiju
Idaho Transfer,Peter Fonda,"Kelly Bohanon, Kevin Hearst, Caroline Hildebrand",United States,"Time travel, post-apocalyptic, dystopian"
Invasion of the Bee Girls,Denis Sanders,"William Smith, Anitra Ford, Victoria Vetri",United States,"Exploitation, horror"
Ivan Vasilievich: Back to the Future,Leonid Gayday,"Yuriy Yakovlev, Leonid Kuravlyov, Aleksandr Demyanenko",Soviet Union,Comedy
Mazinger Z vs. Devilman,Tomoharu Katsumata,"Hiroya Ishimaru (voice), Ryôichi Tanaka (voice), Minori Matsushima (voice)",Japan,Anime film crossover of the anime series Mazinger Z and Devilman
Murder in a Blue World,Eloy de la Iglesia,"Sue Lyon, Christopher Mitchum, Jean Sorel",SpainFrance,"Crime, horror"
The Neptune Factor,Daniel Petrie,"Ben Gazzara, Walter Pidgeon, Ernest Borgnine",Canada,nan
Sleeper,Woody Allen,"Woody Allen, Diane Keaton, John Beck",United States,Comedy[nb 4]
Soylent Green,Richard Fleischer,"Charlton Heston, Edward G. Robinson, Leigh Taylor-Young",United States,Ecological dystopian thriller[nb 5]
Tah Tien,Sompote Sands,"Supak Likitkul, Sombat Metanee, Sukon Kewlhiem",Thailand,Kaiju
Tidal Wave,Shiro Moritani,"Keiju Kobayashi, Hiroshi Fujioka, Ayumi Ishida",Japan,Disaster
Westworld,Michael Crichton,"Yul Brynner, Richard Benjamin, James Brolin",United States,nan
Who is Beta?,Nelson Pereira dos Santos,"Frédéric de Pasquale, Sylvie Fennec, Regina Rosenburgo",FranceBrazil,Portuguese title: Quem é Beta? French title: Pas de violence entre nous[24][25][26][27][28][29][30][31][32][33][34]
1974,1974,1974,1974,1974
Title,Director,Cast,Country,Subgenre/Notes
The 6 Ultra Brothers vs. the Monster Army,"Sompote Sands, Shohei Tôjô","Ko Kaeoduendee, Anan Pricha, Yodchai Meksuwan",ThailandJapan,"Tokusatsu, kaiju, superhero"
And Now My Love,Claude Lelouch,"Marthe Keller, André Dussollier, Charles Denner",FranceItaly,The last part of the film is set in a dystopian future
Chinese in Paris,Jean Yanne,"Jean Yanne, Nicole Calfan, Michel Serrault",FranceItaly,Comedy
Chosen Survivors,Sutton Roley,"Jackie Cooper, Alex Cord, Richard Jaeckel",MexicoUnited States,Horror
Dark Star,John Carpenter,"Dan O'Bannon, Dre Pahich, Brian Narelle",United States,Comedy[nb 6]
ESPY,Jun Fukuda,"Hiroshi Fujioka, Kaoru Yumi, Masao Kusakari",Japan,Tokusatsu
Flesh Gordon,"Michael Benveniste, Howard Ziehm","Jason Williams, Suzanne Fields, Joseph Hudgins",United States,Sex comedy
Godzilla vs. Mechagodzilla,Jun Fukuda,"Masaaki Daimon, Kazuya Aoyama, Reiko Tajima",Japan,Kaiju
Invasion from Inner Earth,Bill Rebane,"Paul Bentzen, Debbi Pick, Nick Holt",United States,Apocalyptic
The Island at the Top of the World,Robert Stevenson,"David Hartman, Donald Sinden, Jacques Marin",United States,"Fantasy, adventure"
Jumborg Ace & Giant,"Sompote Sands, Shohei Tôjô","Chaiya Suriyun, Aranya Namwong, Sipeuak, Sri Suriya",ThailandJapan,"Tokusatsu, kaiju, superhero"
Let Sleeping Corpses Lie,Jorge Grau,"Cristina Galbó, Ray Lovelock, Arthur Kennedy",SpainItaly,Zombie horror
The Little Prince,Stanley Donen,"Richard Kiley, Steven Warner, Joss Ackland",United KingdomUnited States,nan
Morel's Invention,Emidio Greco,"Giulio Brogi, Anna Karina, John Steiner",Italy,nan
Moscow-Cassiopeia,Richard Viktorov,"Innokentiy Smoktunovskiy, Vasiliy Merkur'yev, Lev Durov",Soviet Union,nan
The Mutations,Jack Cardiff,"Donald Pleasence, Tom Baker, Brad Harris",United KingdomUnited States,Horror
Phase IV,Saul Bass,"Nigel Davenport, Michael Murphy, Lynne Frederick",United KingdomUnited States,Horror
Space Is the Place,John Coney,"Barbara Deloney, Sun Ra, Raymond Johnson",United States,nan
The Terminal Man,Mike Hodges,"George Segal. Joan Hackett, Richard Dysart",United States,nan
UFO: Target Earth,Michael A. DeGaetano,"Nick Plakias, Cynthia Cline, LaVerne Light",United States,nan
Zardoz,John Boorman,"Sean Connery, Charlotte Rampling, Sara Kestelman",IrelandUnited States,Science fantasy
1975,1975,1975,1975,1975
Title,Director,Cast,Country,Subgenre/Notes
A Boy and His Dog,L.Q. Jones,"Don Johnson, Jason Robards, Susanne Benton",United States,[nb 7]
Black Moon,Louis Malle,"Cathryn Harrison, Therese Giehse, Alexandra Stewart",FranceWest Germany,nan
Breakdown,Krzysztof Kiwerski,nan,Poland,Animated short film. Polish title: Awaria[42]
Bug,Jeannot Szwarc,"Bradford Dillman, Joanna Miles, Richard Gilliland",United States,nan
Death Race 2000,Paul Bartel,"David Carradine, Sylvester Stallone, Simone Griffeth",United States,nan
Escape to Witch Mountain,John Hough,"Eddie Albert, Ray Milland, Donald Pleasence",United States,nan
The Flight of Mr. McKinley,Mikhail Shveytser,"Donatas Banionis, Zhanna Bolotova, Angelina Stepanova",Soviet Union,nan
Flowers for the Man in the Moon,Rolf Losansky,"Jutta Wachowiak, Stefan Lisewski, Sven Grothe",East Germany,Children's film. German title: Blumen für den Mann im Mond[43][44][45][46][47]
