Title,Director,Cast,Country,Subgenre
Alien Dead,Fred Olen Ray,"Buster Crabbe, Ray Roberts, Linda Lewis",United States,Horror
Altered States,Ken Russell,"William Hurt, Blair Brown, Bob Balaban",United States,Horror
Aquanauts,Igor' Voznesenskiy,"German Poloskov, Aleksandr Yakovlev, Iren Azer",Soviet Union,nan
Battle Beyond the Stars,Jimmy Murakami,"George Peppard, Robert Vaughn, Richard Thomas",United States,Space opera
Contamination,Luigi Cozzi,"Ian McCulloch, Louise Marleau, Marino Masé",ItalyWest Germany,Horror
Cyborg 009: Legend of the Super Vortex,Masayuki Akehi,"Kazuhiko Inoue (voice), Fuyumi Shiraishi (voice), Keiichi Noda (voice)",Japan,Anime film
Death Ray on a Coral Island,Hongmei Zhang,"Qi Qiao, Zhiao Ling, Zhen Qiao",China,[1][2][3]
Death Watch,Bertrand Tavernier,"Romy Schneider, Harvey Keitel, Harry Dean Stanton",FranceWest Germany,nan
The Empire Strikes Back,Irvin Kershner,"Mark Hamill, Harrison Ford, Carrie Fisher",United States,Space opera[nb 1]
The Final Countdown,Don Taylor,"Kirk Douglas, Martin Sheen, Katharine Ross",United States,Alternate history
Flash Gordon,Mike Hodges,"Sam J. Jones, Melody Anderson, Max von Sydow",United KingdomUnited States,Space opera
Galaxina,William Sachs,"Stephen Macht, Avery Schreiber, J. D. Hinton",United States,"Science fantasy, comedy"
Golem,Piotr Szulkin,"Marek Walczewski, Krystyna Janda, Joanna Zólkowska",Poland,nan
Hangar 18,James L. Conway,"Darren McGavin, Robert Vaughn, Gary Collins",United States,nan
Nightmare City,Umberto Lenzi,"Hugo Stiglitz, Laura Trotter, Maria Rosaria Omaggio",ItalySpain,Horror
Phoenix 2772,Taku Sugiyama,"Kaneto Shiozawa (voice), Keiko Takeshita (voice), Hiroshi Ôtake (voice)",Japan,Anime film
Saturn 3,Stanley Donen,"Farrah Fawcett, Kirk Douglas, Harvey Keitel",United Kingdom,nan
Somewhere in Time,Jeannot Szwarc,"Christopher Reeve, Jane Seymour, Christopher Plummer",United States,Romance
Superman II,Richard Lester,"Gene Hackman, Christopher Reeve, Ned Beatty",United States,Superhero
Toward the Terra,Hideo Onchi,"Junichi Inoue (voice), Masaya Oki (voice), Kumiko Akiyoshi (voice)",Japan,Anime film
Virus,Kinji Fukasaku,"Masao Kusakari, Tsunehiko Watase, Isao Natsuyagi",Japan,Post-apocalyptic
Without Warning,Greydon Clark,"Jack Palance,Martin Landau,Tarah Nutter",United States,Horror
1981,1981,1981,1981,1981
Adieu Galaxy Express 999,Rintaro,"Masako Nozawa (voice), Masako Ikeda (voice), Kaneta Kimotsuki (voice)",Japan,nan
The Cabbage Soup,Jean Girault,"Louis de Funès, Jean Carmet, Jacques Villeret",France,nan
Earthbound,James L. Conway,"Burl Ives, Christopher Connelly, Meredith MacRae",United States,nan
Escape from New York,John Carpenter,"Kurt Russell, Lee Van Cleef, Ernest Borgnine",United States,nan
Galaxy of Terror,B. D. Clark,"Edward Albert, Erin Moran, Ray Walston",United States,nan
